Samples,Groups,2-Phosphoglycerate,Acetyl CoA,Acetyl-L-carnitine,Acetylcholine,Adenine,Adenosine,Adenosine 5'-Diphosphate (ADP),Adenosine 5'-triphosphate (ATP),Adenosine-Monophosphate (AMP),Alanine,alphaKetoglutarate,Arachidonic acid,Arginine,Argininosuccinate,Asparagine,Aspartate,Beta-Alanine,Beta-Nicotinamide Adenine Dinucleotide,Betaine,Butyric acid,Carnitine,Carnosine,Choline,cis Aconitate,Citrate,Citrulline,Coenzyme A,Creatine,Creatinine,D-Glucosamine 6-phosphate,D-Ribose 5-Phosphate,Dihydronicotinamide-adenine dinucleotide phosphate (NADPH),Dihydroxyacetone Phosphate (DHAP),FAD (Flavin adenine dinucleotide),Fructose 6-Phosphate,Gamma-Aminobutyrate,gamma-Glutamylcysteine,Glucose 6-Phosphate,Glutamate,Glutamine,Glutathione disulfide (GSSG),Glutathione Reduced (GSH),Glycerol 3-Phosphate,Glycine,Histidine,Homocystine,Hydroxyproline,Hypotaurine,Isoleucine,Kynurenine,Lactate,Leucine,Linoleic acid,Linolenic acid,Lysine,Malate,Methionine,Myristic acid,N-acetyl-aspartyl-glutamate (NAAG) (nv),N-Acetyl-L-glutamine,N-Acetylaspartate,Nicotinamide adenine dinucleotide (NAD+),Nicotinamide adenine dinucleotide phosphate (NADP+),Nicotinamide adenine dinucleotide reduced (NADH),O-Phosphoethanolamine,Octanoic acid,Oleic acid,Palmitate,Pantothenate,Phenylalanine,Phosphocreatine,Phosphoenolpyruvate,Phosphoserine,Proline,Pyruvate,S-Adenosylhomocysteine,S-Adenosylmethionine,Sedoheptulose-7-phosphate (D),Serine,Taurine,Threonine,Tryptophan,Tyrosine,Valine
Control 1_1,C,681125519.4,823674976.7,4.69158E+11,41330128372,3070743814,14449689798,29140946357,1.52493E+11,16589231628,3.00664E+11,4810889426,1006250667,17272885581,478306170.5,50753293891,59047793116,2.9744E+11,14271757891,85893485147,25370721240,2.44791E+11,154217550.4,2.95132E+11,168936868.2,31912958016,168538480.6,470815751.9,2.6336E+12,4200108651,141842852.7,68621891.47,968835782.9,95557395.35,1262288620,425512806.2,11412506791,261065612.4,1828260217,6.14114E+11,7.61954E+11,375049240.3,2.02484E+11,355647938,8747237209,44720120062,47182263.57,3338685519,6129886760,3.19388E+11,14932130729,1.23554E+11,1.54369E+11,836948713.2,219915472.9,25703632372,27224683163,90351433426,4335274171,9536546729,829421829.5,13557347225,14314430512,186731534.9,721003969,45621406760,653758387.6,7685047566,3.15524E+11,91214609860,1.4585E+11,52423362481,351713426.4,137445705.4,1.06491E+12,2132953302,3105286202,2247443845,130630139.5,4661188465,14712279318,3.78565E+11,30700526140,1.46644E+11,1.92185E+11
Control 1_2,C,799637904.1,909836343.4,5.9228E+11,46444493200,5815287700,12209979933,35649705240,2.38927E+11,19936821702,3.41795E+11,4900915347,1162038499,21212308881,584298402.1,74112837161,85636119212,3.3832E+11,13497611891,1.48565E+11,21492886213,4.27386E+11,186980230.4,3.49224E+11,196740468.2,36391222891,413021330.4,592413823.9,3.31221E+12,4826279896,221824749.2,69999331.1,1159199777,75562095.88,1524820067,514810628,13401659457,367068524.7,2513824155,7.53363E+11,1.10691E+12,578191081.4,2.32627E+11,393606243,8268186399,22522468079,52919583.8,5887645634,7364750056,5.29146E+11,25646405351,1.15114E+11,2.80843E+11,1104755481,287422147.9,37317486734,35131543069,2.14357E+11,4437996878,10600796135,1649656931,17982439836,13531105463,289321664.8,701214938.7,58128262802,806566332.2,10133869640,3.57782E+11,1.10888E+11,2.62798E+11,68418644667,425482943.1,57734225.2,2.0121E+12,2487070531,4175968190,3096493497,159456335.9,4223617094,21876926644,6.42182E+11,52457829506,2.41765E+11,2.99737E+11
Control 1_3,C,678444044,718113313.3,5.87336E+11,60862479546,9022921588,15201543944,29137931532,1.94923E+11,16859279546,2.60192E+11,3787499499,1332617951,15679645512,430206006,64929146747,70791371638,2.57192E+11,7891096964,1.47907E+11,31034420020,3.56371E+11,223194661.3,3.06875E+11,198256189.5,31726294828,364499833.2,406074808.1,2.78764E+12,3989883217,149459259.3,54468335,1026977911,68913313.31,1306291892,394702902.9,12826137070,349059926.6,1710257991,6.33722E+11,8.73707E+11,359705972.6,1.86458E+11,332898164.8,10986919720,24664972172,31327193.86,5750806807,8597237237,4.9726E+11,26510527594,1.3382E+11,2.43925E+11,973359893.2,358744878.2,33973766834,26322552953,1.88496E+11,3940453253,5945106173,1089210878,14275840641,7911422356,116958959,440676609.9,42372873140,881385585.6,8879175175,2.61733E+11,81064719119,2.37732E+11,46986122122,405626159.5,78016549.88,1.6859E+12,2127675943,3606030030,2336676944,153020353.7,5514216617,19023360427,5.60589E+11,44458436036,2.26696E+11,2.78124E+11
Control 1_4,C,718391112.7,915663900.1,6.21956E+11,46874098274,5622377672,14179550202,33221140213,2.03748E+11,20406434080,3.05773E+11,5195755858,1098080426,21845696071,532219537.3,62287822549,69922860375,3.02529E+11,13446738450,1.11108E+11,26284273522,3.44532E+11,204479544.6,3.3658E+11,187166434.1,35249904958,326055820.8,554672273.2,3.28264E+12,4826996401,180499742.9,70800514.14,1069611531,91726992.29,1542132060,447476900.5,13247051634,354784282,2177180022,7.1242E+11,9.45667E+11,510629599.7,2.3698E+11,393640029.4,12626426735,39223472934,45352993.02,5339336908,7217372604,4.24115E+11,23222812486,1.29712E+11,2.05822E+11,1059229820,313673742.2,33900903415,29208732721,1.3627E+11,4538617701,9688248549,1063820345,16341736026,13480121631,259437238.3,689830921.8,50955972677,838600367.2,9319864855,3.22557E+11,1.0239E+11,1.95796E+11,58748032611,415834667.6,163559015.8,1.49922E+12,2458515755,3989641425,2523863680,160247961.8,7132670731,17468429820,5.11486E+11,39047742049,1.99037E+11,2.48809E+11
Control 1_5,C,428830193.5,1582586968,5.54852E+12,3.97188E+11,1710915226,9887397161,19994291613,4.55403E+11,31198317419,5.39103E+11,11400050581,1493653161,43039013161,482245290.3,54392683355,1.82468E+11,5.35457E+11,53743376516,1.91311E+11,66714045935,1.41687E+12,0,6.02073E+11,190302967.7,58669056000,1222431355,1663451613,4.98241E+12,7556108387,2309879226,495607483.9,1738306581,9094709.677,2905087226,857907612.9,3.05655E+11,232337935.5,7414331355,1.0171E+12,5.14173E+12,3138881548,6.7893E+11,758989419.4,19135258839,1.17083E+11,77303741.94,3568279484,7256582194,8.66991E+11,1533661935,2.42122E+11,4.34199E+11,4542410839,1816935742,73594384516,52752792774,4.7554E+11,9943326968,1.24983E+11,12721325419,86113346065,53842233806,2075053806,2721956903,3.12472E+11,641753548.4,13860378839,6.37723E+11,4.8489E+11,4.99526E+11,49706458839,168488774.2,111253290.3,3.51032E+12,7528448000,3608569290,6018896516,3051777290,19386607484,56493943742,1.2575E+12,2.47901E+11,6.74185E+11,5.73984E+11
Control 1_6,C,395273785.3,1389679209,3.53633E+12,2.51343E+11,1117625085,7573080226,22118803164,4.39251E+11,25250605198,4.31847E+11,12373970621,1082478757,43167793898,421222598.9,50314388249,1.56545E+11,4.28663E+11,55215522712,1.06683E+11,30631137627,9.89095E+11,0,4.09169E+11,140222259.9,44798394576,828258418.1,1465645198,4.10675E+12,5529435028,1520484520,401210169.5,1873673785,21025423.73,2821816045,625738079.1,2.93682E+11,255011525.4,6063836384,8.66862E+11,4.05838E+12,2454185989,6.36291E+11,748419548,17460991638,82383085198,50836610.17,2509806328,8922842938,6.64477E+11,1137807684,1.58152E+11,3.30243E+11,3151449944,1090887232,58232873220,45987829153,3.08147E+11,7349405650,1.29045E+11,10109591864,78992618305,55424430282,1758853898,2798078644,2.90982E+11,484303502.8,10052919322,4.79472E+11,4.3705E+11,3.89555E+11,52621859435,168505988.7,167191638.4,1.88889E+12,5837100565,3214038870,5453114124,1608214463,17195993672,50689598192,8.60594E+11,1.82695E+11,5.22863E+11,4.5337E+11
Control 1_7,C,440245628.7,1515382036,4.26242E+12,2.45004E+11,1433965509,9937624910,44748232814,5.76437E+11,33852121677,4.28985E+11,11811966467,1306928982,48882989222,508970658.7,59582455569,2.42991E+11,4.25976E+11,53179972216,1.18602E+11,26935275689,1.16563E+12,0,4.25875E+11,131073892.2,43778632814,1066851138,1622453174,4.46043E+12,6253874491,1539512455,510721437.1,2217536766,19396526.95,3185029222,548602275.4,3.04019E+11,295082515,6368578683,1.05218E+12,4.57184E+12,2455755928,6.26397E+11,855407305.4,19182626108,61110530299,52493413.17,3073767665,9783281437,8.08194E+11,1409398084,1.24444E+11,3.70287E+11,3104078323,1488909940,71577860599,60010075210,3.92573E+11,7882108743,1.49169E+11,10972077605,86620343952,53297958323,2392126467,2646318563,3.02929E+11,552533173.7,10603156886,5.42521E+11,4.76896E+11,4.58843E+11,63884481916,206406946.1,183462275.4,2.37309E+12,5211096048,3668386826,6180657246,1725648862,20610069461,55603226826,1.05894E+12,2.35639E+11,6.08225E+11,5.10988E+11
Control 1_8,C,222564482.8,976768505.7,3.64101E+12,3.45781E+11,6748949425,15838839540,1.09071E+11,3.88813E+11,1.27793E+11,3.39878E+11,5424267126,2101571954,32034982989,484574023,70792069885,5.55006E+11,3.36535E+11,24209423448,2.68512E+11,64451244138,2.09131E+12,0,7.67555E+11,152763103.4,38289986207,2720584368,1421204483,4.40231E+12,7280304828,1744787701,409536896.6,786284023,0,2516131724,321957816.1,3.49225E+11,1249562759,7415492874,1.07001E+12,4.24369E+12,3054703678,4.58792E+11,503958505.7,19577910805,99537588966,71724597.7,4290772414,9262243678,1.05064E+12,2103103218,65006528736,5.64664E+11,5285401839,2644161609,97759117241,72619659770,8.39201E+11,9203689195,67702363218,13809271724,70048853333,24264478161,2433723448,1250599425,2.98053E+11,706607471.3,18651731494,5.59334E+11,2.68481E+11,6.36553E+11,10339601839,69540114.94,39912758.62,4.01332E+12,3780123908,7622538851,7391362299,1185421609,16251117241,46528812874,1.54498E+12,3.39634E+11,8.68967E+11,6.80531E+11
Mutant 1_1,M,1638885088,1233173509,3.05491E+12,33529650526,3245131228,52603239298,77258745263,4.06576E+11,26686894035,5.76807E+11,24738515088,1075842632,1.02413E+11,1634434211,32424839298,90363098947,5.73216E+11,51613237895,85420620351,6505462456,1.51102E+12,31962631.58,1.86594E+11,497590877.2,1.02329E+11,524114736.8,1068194737,9.6551E+12,21325925614,541577543.9,449048596.5,4754233333,200147543.9,3432310175,1496865439,2.96598E+11,106432456.1,8141536842,1.22426E+12,5.49075E+12,1878203333,9.35494E+11,1228481053,24621117193,98853681404,24345789.47,8071528421,11260362807,6.04497E+11,2107413509,3.59495E+11,3.27986E+11,2635021579,554745614,66554537544,52589625263,3.34108E+11,11441840702,1.58492E+11,5648683860,99249347368,51722795789,711523684.2,2612252456,96337190175,765539649.1,13369461053,9.79082E+11,3.39778E+11,4.86604E+11,5.10909E+11,753918421.1,160903333.3,3.11096E+12,8329655439,6347491930,4398208070,2893091228,11109738947,70945566316,6.85835E+11,2.30094E+11,5.52454E+11,4.57889E+11
Mutant 1_2,M,2010529020,1310115490,2.84845E+12,20126916078,2262124118,46159752157,32726280784,5.78474E+11,29342130196,5.54055E+11,32054305882,1108438039,1.24929E+11,1943057647,37826155294,1.03416E+11,5.5078E+11,76519134118,74469245490,5749836471,1.31072E+12,60482156.86,1.62519E+11,659281176.5,1.17441E+11,460632549,1134554902,9.88246E+12,16217651765,438374509.8,527039607.8,6084734118,283707058.8,3952165098,1315039412,2.84872E+11,105624509.8,7276127843,1.31493E+12,5.60574E+12,2592075882,9.85385E+11,1570921373,32147259608,20788216471,46080980.39,9791246275,9471020392,5.4706E+11,2996108627,3.34141E+11,3.30204E+11,2788981373,335800784.3,72336815686,60091306667,3.36857E+11,12202282353,1.79208E+11,6500814118,1.09087E+11,76693898039,789840196.1,3914730588,95565038431,678650000,16051327059,8.76499E+11,3.99985E+11,4.97969E+11,4.93632E+11,1031831765,268445882.4,2.22732E+12,9632219608,6757099608,4595387843,2180707059,15323264314,69589490196,6.57619E+11,2.47046E+11,6.09649E+11,4.73445E+11
