Molecule,groups ,2-Phosphoglycerate,Acetyl CoA,Acetyl-L-carnitine,Adenine,Adenosine,Adenosine 5'-Diphosphate (ADP),Adenosine 5'-triphosphate (ATP),Adenosine-Monophosphate (AMP),Alanine,alphaKetoglutarate,Arachidonic acid,Arginine,Argininosuccinate,Asparagine,Aspartate,Beta-Alanine,Beta-Nicotinamide Adenine Dinucleotide,Betaine,Butyric acid,Carnitine,Carnosine,Choline,Citrate,Citrulline,Coenzyme A,Creatine,Creatinine,D-Ribose 5-Phosphate,Dihydronicotinamide-adenine dinucleotide phosphate (NADPH),Dihydroxyacetone Phosphate (DHAP),FAD (Flavin adenine dinucleotide),Fructose 6-Phosphate,Gamma-Aminobutyrate,Glucose 6-Phosphate,Glutamate,Glutamine,Glutathione disulfide (GSSG),Glutathione Reduced (GSH),Glycerol 3-Phosphate,Glycine,Histidine,Hydroxyproline,Hypotaurine,Isoleucine,Kynurenine,Lactate,Leucine,Linoleic acid,Linolenic acid,Lysine,Malate,Methionine,Myristic acid,N-acetyl-aspartyl-glutamate (NAAG) ,N-Acetyl-L-glutamine,N-Acetylaspartate,Nicotinamide adenine dinucleotide (NAD+),Nicotinamide adenine dinucleotide phosphate (NADP+),Nicotinamide adenine dinucleotide reduced (NADH),O-Phosphoethanolamine,Octanoic acid,Oleic acid,Palmitate,Phenylalanine,Phosphocreatine,Phosphoenolpyruvate,Proline,Pyruvate,S-Adenosylhomocysteine,S-Adenosylmethionine,Serine,Taurine,Threonine,Tryptophan,Tyrosine,Valine
Control 1_1,C,1480585.714,2887700,28065520327,45774763.27,142226057.1,141696865.3,420419102,131910816.3,2416774792,176040930.6,1679995.918,3209759869,7475227.551,114195265.3,434331559.2,18124724.49,150822563.3,3654834416,23801367.35,37167580473,0,1625511053,381098644.9,23489561.22,4782636.735,94320389224,136148057.1,668870.4082,8285202.041,698219.3878,9856132.653,2112438.776,1962248882,10660963.27,11301489894,69014703543,21591928.57,4838770939,14148408.16,69766791.84,1989774890,359652963.3,57632179.59,7532727902,29760402.04,894088751,5837762351,1886573.469,123657.1429,1178202776,284196440.8,5846377535,11776094.9,487091330.6,157598693.9,457171787.8,150247232.7,5174820.408,7808768.367,798666383.7,6368362.245,12510245.92,1015305861,5161459984,1066794776,1970246.939,36045949388,15871341.84,7069102.041,93077706.12,466632489.8,243222285.7,12646080261,1746098286,6157794220,3395634155
Control 1_2,C,1208514.173,1842492.126,16872167408,26132319.69,96195710.24,168930809.4,340588396.9,91759080.31,1669342539,202680944.9,994479.5276,2916775710,9763603.15,108666393.7,415442519.7,11692496.06,163262689.8,2360021468,7788865.354,34265055748,0,722309039.4,347295496.1,14554151.18,4617928.346,70599720315,95807036.22,525903.937,8103568.504,396107.0866,8990729.921,2213785.827,1682813682,9822782.677,9770791912,59183871597,20897831.5,3856367874,11702211.81,53779395.28,1704684649,294270589,60129159.06,5668762406,55657562.2,918746607.9,4601557669,1704046.457,146158.2677,1034467376,365866330.7,4579854513,8861358.268,510758097.6,98181329.13,376597644.1,162047848.8,4662321.26,8193211.811,813856604.7,4854372.441,11757523.62,777992163.8,4351741581,1148221984,1806605.512,22570366186,17186662.99,5950525.984,109843540.2,404422853.5,175473915,10564310476,1634595578,5514778205,3004969323
Control 1_3,C,1140692.405,2274752.532,12971300942,23746688.61,118847402.5,144375686.1,382925448.1,93384658.23,925001316.5,169725286.1,1018955.696,1779944668,7044778.481,115883969.6,542848405.1,10079292.41,186799331.6,1126689053,5852747.468,30294417823,#N/A,351107078.5,242193012.7,17471216.46,5059506.329,64567721519,81487341.77,589956.3291,8562908.228,457190.5063,9318975.949,1756062.658,2676276658,10347275.95,8946574582,51282905114,14495034.18,3810004901,9137455.696,48716987.34,1279016992,263920141.8,86558744.3,3394655919,32488655.7,193868435.4,2756976446,2270315.823,129106.962,733468516.5,380959189.9,4303293246,7421417.089,766216911.4,112747007.6,494728303.8,185358440.5,4617813.924,5739565.823,986533994.9,4447096.203,9491082.278,579033154.4,3788007696,965738531.6,1426143.038,16881310137,5404939.241,5653222.785,93508212.66,393655736.7,277375594.9,10359336830,1468730977,4618803200,2202726724
Control 1_4,C,1744981.176,2284298.824,25626146936,47719510.59,123975190.6,135470164.7,272639454.1,111295021.2,3782521976,139380000,2093721.176,2966868932,4328440,94133825.88,293669364.7,22286840,111096320,4540120847,29927976.47,21480308254,833760,2372720489,311946089.4,23871750.59,1994841.176,91057597741,120675717.6,737572.9412,7143468.235,613467.0588,7571271.765,2296778.824,777138522.4,10006768.24,9495277327,62559152489,13018370.59,3806087228,12436087.06,72845200,2041861120,334304978.8,39310809.41,6956567492,25010647.06,1125846061,5544483539,2284141.176,0,1324290711,167957590.6,4628650165,13324898.82,270569148.2,115327538.8,315183491.8,110608338.8,3066112.941,4006940,546023228.2,9284402.353,14995351.76,1259211445,4161161336,899912131.8,2004809.412,29747585506,20076527.06,6939742.353,62599275.29,323180235.3,170264188.2,10876258184,1574894231,5153447454,3515594391
Control 1_5,C,740588.4507,889285.9155,3312200978,10977046.76,33872475.49,26216245.63,109948286.2,35748065.35,966796980.3,34689985.35,509923.9437,577630431.5,3722720.563,203903242.8,235891831,9505819.718,47450956.62,743002934.1,4046965.07,6901687310,2043855.211,466508655.8,116751224.8,6499201.127,1619779.718,29747042254,37042219.72,106419.7183,2756330.141,252121.1268,3448992.676,1523743.662,93068980.28,4375447.887,4193672005,14092119545,2697239.155,898128189.3,2113073.239,110860583.7,571803294.6,123843055.8,46145356.62,2401596575,116430305.4,23817354.37,1904971574,355619.1549,23900.28169,343859813,93523542.54,1532962037,2221808.169,91485728.45,16413837.75,119448238.9,47085796.06,684772.1127,2059875.493,190308182.5,1349472.394,4951278.31,83283218.03,2029910679,419132646.8,738809.5775,11701403186,1093587.324,7996139.155,24326395.49,101962104.8,36720067.61,3862870679,459915213.5,2126904392,1044993082
Control 1_6,C,891363.6559,1270513.763,2082775701,9979796.129,24726957.42,16108769.03,121367907.1,34532786.24,636054186.7,34704340.65,339430.3226,612314398.3,5205136.774,258753899.4,300130491.2,9606542.796,54684617.63,599376268.4,2403946.022,6555992416,1586170.538,443608746.7,95846283.01,6388806.882,1718986.667,27230752688,41142929.89,95012.90323,3045785.591,161980.4301,3862956.559,1428718.065,59417173.33,4295589.677,4402399298,11498402188,3112557.204,818980831,1987269.462,88803943.23,658570515.3,117889197.4,46441128.6,2311598300,123137775.5,17093039.14,1839686028,266823.2258,26243.87097,427035637,134150028.4,1383188480,1739315.054,117110172.9,12157652.47,116047580.2,53971241.29,682336.9892,1769886.667,213565563.9,1109044.946,4546000,52017696.34,1973430558,464102510.1,867636.5591,8585463522,743852.2581,8594102.366,30008839.57,76572345.81,34260080.86,3882681641,407038954,1901081545,975357908
Control 1_7,C,1000760.4,1371749,1787547443,11807721.6,26887593.6,20148060.8,127550246.4,36678387.2,542950297.6,33214188.8,328105,525240012.8,4686630.4,265272294.4,300168755.2,8871313.6,47734371.2,602228787.2,2444730,6833068851,1596169,402776755.2,85888204.8,6905691.2,1508739.8,26780200000,43116284.8,113703,2836994.4,174139.2,3531927.6,1143913.2,54862169.6,3992636.8,4325204787,10235138048,2154793.4,759239116.8,1777442,76739014.4,633367040,111618560,45288480,2234041754,114415641.6,17535902.4,1864994816,288574.6,10319.2,417284582.4,156474048,1414417408,1756929.8,108939878.4,10200905.6,106823564.8,47490771.2,663914.6,2025880.8,200126988.8,895272,4239620,55442374.4,1953918157,439251660.8,923625.8,8717375078,696843.4,8649699.2,34850464,62393190.4,35259427.2,4051916800,395890508.8,1980825190,1018802074
Control 1_8,C,937938.3085,1238388.806,2225960756,14654708.46,39113476.62,27858517.41,112341150.2,37703084.58,872498435.8,26961301.49,409156.2189,496698045.8,4222101.99,271918423.9,303868593,12734476.62,52127307.46,902700895.5,4428440.299,4892801910,2350847.761,508875144.3,127265544.3,7818602.488,1663252.488,27582587065,39449930.35,48805.72139,2928757.96,199797.5124,3620635.572,1352717.413,74348704.48,4102647.512,4423945934,10758997843,1851917.662,712325094.5,1686638.06,82006495.52,894662622.9,107470790,42212827.86,2883903172,205389102.5,24979709.45,2403902663,245357.2139,29800,397908601,107960214.9,1849522563,2207216.169,51278407.96,15905142.29,80649393.03,51575176.12,501712.1891,1688235.821,169656214.9,1801239.552,5167648.259,69701731.34,2385458691,341605349.3,976823.6318,11056524354,907938.806,9193637.811,31626443.78,51198348.26,40716923.38,4210489313,389733986.1,2298652275,1265026802
Mutant 1_1,M,1684920.67,1471195.531,3320791383,18007841.34,76483709.5,72921175.42,283495776.5,53440907.26,1260758668,145735705,220327.933,1636633743,8631260.894,123542873.7,428642288.3,13704807.82,148506922.9,592563879.3,3440613.966,10652680009,60367.03911,253831794.4,290380496.1,10020490.5,4094992.737,69841899441,99998355.31,351686.0335,11001249.16,594266.4804,7839160.335,2152899.441,1949534677,8425729.609,8608738825,35948928429,13266521.79,3016320429,6387034.637,113975928.5,879320956.4,290009886,142559892.7,2911516889,21107338.55,192940263.7,2398234172,729222.3464,88016.75978,935242154.2,247614087.2,2636083200,4885160.894,746013389.9,33503336.31,404177519.6,146163182.1,1704751.955,5236511.732,370287016.8,2159570.95,5426234.637,523190274.9,2973788961,1467141006,2401184.916,12344695276,4593836.872,5380169.274,55190172.07,84150659.22,153492826.8,4245803191,1044818020,3466139602,1623611781
Mutant 1_2,M,1497086.486,1433877.838,3881382054,59447264.86,157447593.5,84817850.81,284587018.4,59265634.59,1354080173,119609098.4,652993.5135,1323066949,6027741.081,111176233.5,386660220.5,15420299.46,102256129.7,1682122448,3965764.865,13511135343,98410.81081,915906767.6,312459589.2,9184140.541,3805228.649,64738918919,111650914.6,411786.4865,9614052.973,495903.2432,7301523.784,2642181.081,1925074058,10032203.24,7897053129,33049404056,12800336.22,3006401176,5780996.216,142320328.6,959806962.2,253593548.1,113933137.3,2975054876,22205481.08,228082698.4,2370692290,474426.4865,78812.43243,902395710.3,221112579.5,2829991438,4663816.757,741845517.8,35327234.59,474462512.4,100897072.4,1835576.216,4348910.811,402436808.6,2189323.784,5414468.108,468421777.3,3267101890,1108565587,2092255.676,16089214201,4455268.108,6255436.216,56026598.92,50658996.76,152941215.1,4712463498,1074545539,3698689107,1624698603
Mutant 1_3,M,1640506.349,1176413.757,2819124825,27508975.66,89550112.17,73602116.4,273321346,50133303.7,1040652732,123501282.5,221195.2381,1488200737,6249445.503,133845240.2,431718806.3,12176450.79,116229858.2,615326747.1,2959629.63,11042952533,57522.22222,218362852.9,245095771.4,7860440.212,3863648.148,69322751323,144959830.7,270602.1164,9640845.503,412904.2328,7247342.857,1277297.354,1631086933,6940552.91,8216772131,35150380969,8058767.196,2836876326,5422527.513,117322912.2,947256482.5,295978565.1,134116673,2379754870,25729185.19,161615661.4,2017008288,743063.4921,86476.19048,929275868.8,194492359.8,2670419166,4445867.725,726324351.3,32869528.04,378165773.5,114463263.5,1907319.048,4092868.783,378150095.2,1876220.635,4686384.127,411297185.2,3166376770,1299113583,1982928.571,12091516614,3420575.661,3904906.878,51322340.74,80318620.11,139431534.4,4217119424,1120932301,3396747784,1532105549
