"","FC","log2(FC)","raw.pval","-log10(p)"
"Creatine",2.3783,1.2499,5.2964e-09,8.276
"Creatinine",3.3487,1.7436,1.4111e-07,6.8504
"Glycine",2.0972,1.0685,6.8269e-06,5.1658
"Hydroxyproline",1.8717,0.90436,2.4491e-05,4.611
"Glutamate",1.5512,0.6334,7.9985e-05,4.097
"S-Adenosylhomocysteine",1.6806,0.74899,0.00058593,3.2322
"Palmitate",1.7005,0.76594,0.0014404,2.8415
"Myristic acid",1.6681,0.73824,0.0015376,2.8131
"Citrate",1.9739,0.98102,0.0045355,2.3434
"Tryptophan",2.4631,1.3005,0.0055592,2.255
"Taurine",1.7066,0.77116,0.0062939,2.2011
"Phenylalanine",2.1622,1.1125,0.007609,2.1187
"Gamma-Aminobutyrate",3.3687,1.7522,0.0092196,2.0353
"N-Acetylaspartate",1.8806,0.91121,0.01115,1.9527
"Glutathione Reduced (GSH)",1.7632,0.81822,0.011929,1.9234
"Lysine",1.6332,0.7077,0.01264,1.8983
"Tyrosine",2.2323,1.1585,0.013912,1.8566
"Argininosuccinate",2.3592,1.2383,0.014691,1.8329
"Phosphocreatine",5.1293,2.3588,0.018993,1.7214
"Arginine",2.353,1.2345,0.02091,1.6796
"Hypotaurine",4.5548,2.1874,0.025721,1.5897
"Valine",1.7095,0.77358,0.025869,1.5872
"Glutathione disulfide (GSSG)",1.8952,0.92233,0.029056,1.5368
"Adenosine",2.5228,1.335,0.032269,1.4912
"cis Aconitate",2.1097,1.0771,0.033329,1.4772
"Serine",2.0468,1.0334,0.040523,1.3923
"Histidine",2.1986,1.1366,0.043865,1.3579
